,"Item","Description","Preferred Vendor","U/M","Albertsons Denver Price"
,"POGSS22-8'","POG: SS22-8'",,"EACH (EA)",0.00
,"POGSS22-ECA","POG: SS22-ECA",,"EACH (EA)",0.00
,"POGSS22-ECB","POG: SS22-ECB",,"EACH (EA)",0.00
,"POGSS22-PW","POG: SS22-PW",,"EACH (EA)",0.00
,"POGSS22-PWB","POG: SS22-PWB",,"EACH (EA)",0.00
,"POGSS22-SRA","POG: SS22-SRA",,"EACH (EA)",0.00
,"POGSS22-SRB","POG: SS22-SRB",,"EACH (EA)",0.00
,"PROMO1","PROMOTIONAL DISCOUNT",,,0.00
,"SIGNDS22-A","DS22-A SIGN",,"EACH (EA)",0.00
,"SIGNDS22-B","DS22-B SIGN",,"EACH (EA)",0.00
,"SSL/JEGGING SIGN","LEGGINGS & JEGGINGS PRICE SIGN",,"EACH (EA)",0.00
,"WINWIN FW19",,,,""
,"C 1","FREIGHT",,,
,"C 3","FREIGHT -- NO CHARGE",,,""
,"C 4","NON-INVENTORY CLAIMS / COGS",,,
,"C 5","IRS REIMBURSEMENT",,,""
,"C 6","OTHER MISCELLANEOUS INCOME",,,
,"C 7","FREIGHT CHARGE - RETURNS BY CUSTOMERS",,,""
,"FREIGHT - COGS - GIFTS","FREIGHT OUTBOUND - GIFTS",,,
,"FREIGHT OUT - INVENTORY ITEMS","FREIGHT OUT - INVENTORY ITEMS",,,""
,"NOTES 1 -DEDUCTION","DEDUCTION DATE:                         CHECK #:",,,
,"RECOVERED LOSS","RECOVERED DEFAULT PAYMENTS",,,""
,"CD 100","CUSTOMER / MISCELLANEOUS DEDUCTIONS",,,
,"TD10","TRADE DISCOUNT",,,""
,"TD5","TRADE DISCOUNT",,,
