Item,Description,Preferred Vendor,U/M,Albertsons Intermountain Price,upc,style,display size,season
LISSL113-AY,810312-022337 / #22337 SUP SOFT LEG SOLID NVY S-L (L1320),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LISSL114-AY,810312-022344 / #22344 SUP SOFT LEG SOLID NVY L-2XL (L1320),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LISSL115-AY,810312-022351 / #22351 SUP SOFT LEG SOLID GRY S-L (L1320),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LISSL116-AY,810312-022368 / #22368 SUP SOFT LEG SOLID GRY L-2XL (L1320),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LISSL117-AY,810312-022375 / #22375 SUP SOFT LEG SOLID BGY S-L (L1320),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LISSL118-AY,810312-022382 / #22382 SUP SOFT LEG SOLID BGY L-2XL (L1320),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LISSL201-AY,810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286),,EACH (EA),4.3,8.10312E+11,Solid,Carded,AY
LISSL202-AY,810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286),,EACH (EA),4.3,8.10312E+11,Solid,Carded,AY
LISSL203-AY,810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286),,EACH (EA),4.3,8.10312E+11,Solid,Carded,AY
LISSL301-AY,810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316),,EACH (EA),4.3,8.10312E+11,Printed,Carded,AY
LISSL302-AY,810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316),,EACH (EA),4.3,8.10312E+11,Printed,Carded,AY
LISSL303-AY,810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316),,EACH (EA),4.3,8.10312E+11,Printed,Carded,AY
LISSLLS101-AY,810312-023648 / #23648 VALENTINES SUP SOFT LEG S-2XL (L4855),,EACH (EA),999,8.10312E+11,Printed,Carded,AY
LISSLLS102-AY,810312-023655 / #23655 LOUNGE SET (L4855),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,AY
LISSPT101-SS,810312-024188 / #24188 SOLID SHORT SLEEVE POCKET TUNIC S-XL (T5898),,EACH (EA),10,8.10312E+11,Solid,Long Hanging Top,SS
LISSPT102-SS,810312-024195 / #24195 SOLID SHORT SLEEVE POCKET TUNIC 2XL-3XL (T5898),,EACH (EA),10,8.10312E+11,Solid,Long Hanging Top,SS
LISST101-AY,810312-022559 / #22559 SOLID SUPER SOFT TEE S-M (T5937),,EACH (EA),999,8.10312E+11,Mix,Carded,AY
LISST102-AY,810312-022566 / #22566 SOLID SUPER SOFT TEE L-XL (T5937),,EACH (EA),999,8.10312E+11,Mix,Carded,AY
LISST103-AY,810312-023020 / #23020 PRINTED SUPER SOFT TEE S-M (T5937),,EACH (EA),999,8.10312E+11,Mix,Carded,AY
LISST104-AY,810312-023037 / #23037 PRINTED SUPER SOFT TEE L-XL (T5937),,EACH (EA),999,8.10312E+11,Mix,Carded,AY
LISUS101-AY,810312-023778 / #23778 SOLID UNISEX SCRUB S (S7808),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LISUS102-AY,810312-023785 / #23785 SOLID UNISEX SCRUB M (S7808),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LISUS103-AY,810312-023792 / #23792 SOLID UNISEX SCRUB L (S7808),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LISUS104-AY,810312-023808 / #23808 SOLID UNISEX SCRUB XL (S7808),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LISVN34BST202-AY,810312-023204 / #23204 SOLID V-NECK 3-4 BELL SL TUNIC (T0411),,EACH (EA),999,8.10312E+11,Mix,Long Hanging Top,AY
LISVN34ST101-AY,810312-022450 / #22450 SOLID V-NECK 3-4 SL TUNIC S-M (T5038),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,AY
LISVN34ST102-AY,810312-022467 / #22467 SOLID V-NECK 3-4 SL TUNIC L-XL (T5038),,EACH (EA),999,8.10312E+11,Mix,Long Hanging Top,AY
LITFL201-FW,810312-021668 / #21668 TEXTURED FLEECE LEGGINGS S-L (L6843),,EACH (EA),3.75,8.10312E+11,Solid,Carded,FW
LITFL202-FW,810312-022443 / #22443 TEXTURED FLEECE LEGGINGS L-XXL (L6843),,EACH (EA),3.75,8.10312E+11,Solid,Carded,FW
LIUFFH101-FW,810312-024003 / #24003 UNISEX FULL-ZIP FLEECE HOODIE S (T2703),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LIUFFH102-FW,810312-024010 / #24010 UNISEX FULL-ZIP FLEECE HOODIE M-L (T2703),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LIUFFH103-FW,810312-024027 / #24027 UNISEX FULL-ZIP FLEECE HOODIE XL (T2703),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LIUFJP101-FW,810312-023976 / #23976 UNISEX FLEECE JOGGER PANTS S (P7690),,EACH (EA),999,8.10312E+11,Solid,Carded,FW
LIUFJP102-FW,810312-023983 / #23983 UNISEX FLEECE JOGGER PANTS M-L (P7690),,EACH (EA),999,8.10312E+11,Solid,Carded,FW
LIUFJP103-FW,810312-023990 / #23990 UNISEX FLEECE JOGGER PANTS XL (P7690),,EACH (EA),999,8.10312E+11,Solid,Carded,FW
LIUFPP101-FW,810312-024041 / #24041 UNISEX FLANNEL PAJAMA PANTS S (P4165),,EACH (EA),999,8.10312E+11,Printed,Carded,FW
LIUFPP102-FW,810312-024058 / #24058 UNISEX FLANNEL PAJAMA PANTS M-L (P4165),,EACH (EA),999,8.10312E+11,Printed,Carded,FW
LIUFPP103-FW,810312-024065 / #24065 UNISEX FLANNEL PAJAMA PANTS XL (P4165),,EACH (EA),999,8.10312E+11,Printed,Carded,FW
LIUHS101-FW,810312-024089 / #24089 UNISEX HOLIDAY SWEATSHIRT S (S8902),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
LIUHS102-FW,810312-024096 / #24096 UNISEX HOLIDAY SWEATSHIRT M-L (S8902),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
LIUHS103-FW,810312-024102 / #24102 UNISEX HOLIDAY SWEATSHIRT XL (S8902),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
LIULDJ101-FW,810312-022849 / #22849 ULTRA LIGHT DOWN JACKET S-M BLK (T4955),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LIULDJ102-FW,810312-022856 / #22856 ULTRA LIGHT DOWN JACKET L BLK (T4955),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LIULDJ103-FW,810312-022863 / #22863 ULTRA LIGHT DOWN JACKET XL BLK (T4955),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LIULDJ104-FW,810312-022870 / #22870 ULTRA LIGHT DOWN JACKET S-M GRY (T4955),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LIULDJ105-FW,810312-022887 / #22887 ULTRA LIGHT DOWN JACKET L GRY (T4955),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LIULDJ106-FW,810312-022894 / #22894 ULTRA LIGHT DOWN JACKET XL GRY (T4955),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LIULDJ107-FW,810312-022900 / #22900 ULTRA LIGHT DOWN JACKET S-M BGY (T4955),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LIULDJ108-FW,810312-022917 / #22917 ULTRA LIGHT DOWN JACKET L BGY (T4955),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LIULDJ109-FW,810312-022924 / #22924 ULTRA LIGHT DOWN JACKET XL BGY (T4955),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LIULDJ110-FW,810312-022931 / #22931 ULTRA LIGHT DOWN JACKET S-M BLH (T4955),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LIULDJ111-FW,810312-022948 / #22948 ULTRA LIGHT DOWN JACKET L BLH (T4955),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LIULDJ112-FW,810312-022955 / #22955 ULTRA LIGHT DOWN JACKET XL BLH (T4955),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LIVFLT101-SS,810312-023044 / #23044 V-NECK FULL LACE TUNIC (T4487),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,SS
LIVFLT102-SS,810312-021187 / #21187 FULL LACE TUNIC (T4487),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,SS
LIWWCL101-AY,810312-023143 / #23143 WIDE WTBD COTTON LEGS S-XL (PWP),,EACH (EA),999,8.10312E+11,Mix,Carded,AY
MC - MASTER CARTON,CASE - MISCELLANEOUS,,CASE (CS),0,CASE  MISCEL,#N/A,#N/A,#N/A
MCTXT100-SHIPPER,10810312021504 / SHIPPER OF 20 OZ TX TUMBLER (48 / SHIPPER),,CASE (CS),0,1081031202150,#N/A,#N/A,#N/A
MCWT-SHIPPER,10810312021535 / SHIPPER OF WINE TUMBLERS (48 / SHIPPER),,CASE (CS),0,1081031202153,#N/A,#N/A,#N/A
MISCELLANEOUS-AY,MISCELLANEOUS CLOSEOUTS,,EACH (EA),999,MISCELLANEOUS,#N/A,#N/A,#N/A
NRB10,NUMBER OF RETURN BOXES,,CASE (CS),0,NUMBER OF RET,#N/A,#N/A,#N/A
RL10,RETURN LABEL,,EACH (EA),0,RETURN LABEL,#N/A,#N/A,#N/A
SAMPLES10,SAMPLES,,CASE (CS),0,SAMPLES,#N/A,#N/A,#N/A
TEMP2,810312-021583 / #21583 CLINCHIE,,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
TEMP3,810312-021590 / #21590 EYE GLASS HOLDER,,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
XXXX10100-AY,COUNTER DISPLAY RACK - 2 TIER,,EACH (EA),0,COUNTER DISPL,#N/A,#N/A,#N/A
XXXX10204-AY,BLACK COUNTER SPINNER RACK,,EACH (EA),0,BLACK COUNTER,#N/A,#N/A,#N/A
XXXX10212-AY,04-001CH / BLACK FOUR WAY RACK,,EACH (EA),0,04001CH / BL,#N/A,#N/A,#N/A
XXXX10216-AY,63-304CH / ATTACHMENT ARM - CHROME,,EACH (EA),0,63304CH / AT,#N/A,#N/A,#N/A
CD1,CREDIT DISCREPANCY - MISSING RETURNS DATA (INTERNAL ERROR),,EACH (EA),0,CREDIT DISCRE,#N/A,#N/A,#N/A
KEYREC1,KEYREC REIMBURSEMENT,,,0,KEYREC REIMBU,#N/A,#N/A,#N/A
MD1,MISC. CUSTOMER DEDUCTION,,EACH (EA),0,MISC. CUSTOME,#N/A,#N/A,#N/A
N1-CVS F/W,FALL/WINTER TRANSITION ORDER:........PLEASE SEE PLANOGRAM FOR INSTRUCTIONS AND RETURN LABELS ARE...,,,0,FALL/WINTER T,#N/A,#N/A,#N/A
N1-CVS S/S,SPRING/SUMMER TRANSITION ORDER:........PLEASE SEE PLANOGRAM FOR INSTRUCTIONS AND RETURN LABELS A...,,,0,SPRING/SUMMER,#N/A,#N/A,#N/A
N2-GS F/W,FALL/WINTER TRANSITION ORDER PER CATEGORY MANAGER:........PLEASE SEE PLANOGRAM FOR INSTRUCTIONS ...,,,0,FALL/WINTER T,#N/A,#N/A,#N/A
N2-GS S/S,SPRING/SUMMER TRANSITION ORDER PER CATEGORY MANAGER:........PLEASE SEE PLANOGRAM FOR INSTRUCTION...,,,0,SPRING/SUMMER,#N/A,#N/A,#N/A
N3-BTS,BACK TO SCHOOL PROGRAM:........PLEASE SEE PLANOGRAM FOR INSTRUCTIONS...-------------------------...,,,0,BACK TO SCHOO,#N/A,#N/A,#N/A
N3-FFM,FACE MASK PROGRAM:........CPSIA CERTIFICATE:..https://www.winwinproducts.com/cpsia/facecoverings...,,,0,FACE MASK PRO,#N/A,#N/A,#N/A
N3-NDGB,CVS Holiday 2021 Night Dress W/Cozy Socks Box Set:........--------------------------------------...,,,0,CVS Holiday 2,#N/A,#N/A,#N/A
N3-OPTIN,BEACH WEAR PROGRAM:........PLEASE SEE PLANOGRAM FOR INSTRUCTIONS...-----------------------------...,,,0,BEACH WEAR PR,#N/A,#N/A,#N/A
N3-Program,2022 SUMMER DRESS PROGRAM:........PLEASE SEE PLANOGRAM FOR INSTRUCTIONS...----------------------...,,,0,2022 SUMMER D,#N/A,#N/A,#N/A
N3-PW,POWER WING PROGRAM:........PLEASE SEE PLANOGRAM FOR INSTRUCTIONS...-----------------------------...,,,0,POWER WING PR,#N/A,#N/A,#N/A
N3-Standard,LOUNGE WEAR PROGRAM:........PLEASE SEE PLANOGRAM FOR INSTRUCTIONS...----------------------------...,,,0,LOUNGE WEAR P,#N/A,#N/A,#N/A
N4-RO,Replenishment Authorized by CVS Corporate..WinWin Support: 469-733-5867 or support@winwinproduct...,,,0,Replenishment,#N/A,#N/A,#N/A
OC1,OVER CHARGE BY CUSTOMER,,,0,OVER CHARGE B,#N/A,#N/A,#N/A
POGBTS21-8',POG: BTS21-8',,EACH (EA),0,POG: BTS218',#N/A,#N/A,#N/A
POGFW21-10',POG: FW21-10',,EACH (EA),0,POG: FW2110',#N/A,#N/A,#N/A
POGFW21-2W,POG: FW21-2W,,EACH (EA),0,POG: FW212W,#N/A,#N/A,#N/A
POGFW21-3',POG: FW21-3',,EACH (EA),0,POG: FW213',#N/A,#N/A,#N/A
POGFW21-4',POG: FW21-4',,EACH (EA),0,POG: FW214',#N/A,#N/A,#N/A
POGFW21-4WA,POG: FW21-4WA,,EACH (EA),0,POG: FW214WA,#N/A,#N/A,#N/A
POGFW21-4WB,POG: FW21-4WB,,EACH (EA),0,POG: FW214WB,#N/A,#N/A,#N/A
POGFW22-LW,POG: FW22-LW,,EACH (EA),0,POG: FW22LW,#N/A,#N/A,#N/A
POGSS21-1W,POG: SS21-1W,,EACH (EA),0,POG: SS211W,#N/A,#N/A,#N/A
POGSS21-2W,POG: SS21-2W,,EACH (EA),0,POG: SS212W,#N/A,#N/A,#N/A
POGSS21-4W,POG: SS21-4W,,EACH (EA),0,POG: SS214W,#N/A,#N/A,#N/A
POGSS21-4WE,POG: SS21-4WE,,EACH (EA),0,POG: SS214WE,#N/A,#N/A,#N/A
POGSS21-8'DBW,POG: SS21-8'DBW,,EACH (EA),0,POG: SS218'D,#N/A,#N/A,#N/A
POGSS21-BW4W,POG: SS21-BW4W,,EACH (EA),0,POG: SS21BW4,#N/A,#N/A,#N/A
POGSS22-12',POG: SS22-12',,EACH (EA),0,POG: SS2212',#N/A,#N/A,#N/A
POGSS22-4',POG: SS22-4',,EACH (EA),0,POG: SS224',#N/A,#N/A,#N/A
POGSS22-4' DP,POG: SS22-4' DP,,EACH (EA),0,POG: SS224' ,#N/A,#N/A,#N/A
POGSS22-4WA,POG: SS22-4WA,,EACH (EA),0,POG: SS224WA,#N/A,#N/A,#N/A
POGSS22-4WB,POG: SS22-4WB,,EACH (EA),0,POG: SS224WB,#N/A,#N/A,#N/A
POGSS22-6',POG: SS22-6',,EACH (EA),0,POG: SS226',#N/A,#N/A,#N/A
POGSS22-8',POG: SS22-8',,EACH (EA),0,POG: SS228',#N/A,#N/A,#N/A
POGSS22-ECA,POG: SS22-ECA,,EACH (EA),0,POG: SS22ECA,#N/A,#N/A,#N/A
POGSS22-ECB,POG: SS22-ECB,,EACH (EA),0,POG: SS22ECB,#N/A,#N/A,#N/A
POGSS22-PW,POG: SS22-PW,,EACH (EA),0,POG: SS22PW,#N/A,#N/A,#N/A
POGSS22-PWB,POG: SS22-PWB,,EACH (EA),0,POG: SS22PWB,#N/A,#N/A,#N/A
POGSS22-SRA,POG: SS22-SRA,,EACH (EA),0,POG: SS22SRA,#N/A,#N/A,#N/A
POGSS22-SRB,POG: SS22-SRB,,EACH (EA),0,POG: SS22SRB,#N/A,#N/A,#N/A
PROMO1,PROMOTIONAL DISCOUNT,,,0,PROMOTIONAL D,#N/A,#N/A,#N/A
SIGNDS22-A,DS22-A SIGN,,EACH (EA),0,DS22A SIGN,#N/A,#N/A,#N/A
SIGNDS22-B,DS22-B SIGN,,EACH (EA),0,DS22B SIGN,#N/A,#N/A,#N/A
SSL/JEGGING SIGN,LEGGINGS & JEGGINGS PRICE SIGN,,EACH (EA),0,LEGGINGS & JE,#N/A,#N/A,#N/A
WINWIN FW19,,,,,,#N/A,#N/A,#N/A
C 1,FREIGHT,,,,FREIGHT,#N/A,#N/A,#N/A
C 3,FREIGHT -- NO CHARGE,,,,FREIGHT  NO,#N/A,#N/A,#N/A
C 4,NON-INVENTORY CLAIMS / COGS,,,,NONINVENTORY,#N/A,#N/A,#N/A
C 5,IRS REIMBURSEMENT,,,,IRS REIMBURSE,#N/A,#N/A,#N/A
C 6,OTHER MISCELLANEOUS INCOME,,,,OTHER MISCELL,#N/A,#N/A,#N/A
C 7,FREIGHT CHARGE - RETURNS BY CUSTOMERS,,,,FREIGHT CHARG,#N/A,#N/A,#N/A
FREIGHT - COGS - GIFTS,FREIGHT OUTBOUND - GIFTS,,,,FREIGHT OUTBO,#N/A,#N/A,#N/A
FREIGHT OUT - INVENTORY ITEMS,FREIGHT OUT - INVENTORY ITEMS,,,,FREIGHT OUT ,#N/A,#N/A,#N/A
NOTES 1 -DEDUCTION,DEDUCTION DATE:                         CHECK #:,,,,DEDUCTION DAT,#N/A,#N/A,#N/A
RECOVERED LOSS,RECOVERED DEFAULT PAYMENTS,,,,RECOVERED DEF,#N/A,#N/A,#N/A
CD 100,CUSTOMER / MISCELLANEOUS DEDUCTIONS,,,,CUSTOMER / MI,#N/A,#N/A,#N/A
TD10,TRADE DISCOUNT,,,,TRADE DISCOUN,#N/A,#N/A,#N/A
TD5,TRADE DISCOUNT,,,,TRADE DISCOUN,#N/A,#N/A,#N/A
